dataEntered;date;temp_regime;wave_exposure;site;Ind;laminaWeight;laminaLength;laminaThickness;stipeMass;stipeLength;stipeDiameter;digits;thallusMass;totalLength
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;8;2.14;186;0.1;1.25;104;4.5;14;3390;290
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;9;0.87;128;0.8;0.63;81;3.65;7;1500;209
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;10;0.08;144;0.48;0.62;72;3.74;10;695;216
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;11;0.5;123;0.38;1.12;114;4;13;1620;237
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;12;1.37;159;0.49;0.22;37;2.78;13;1590;196
RPP;2015/04/10;Warm temperate;Extremely sheltered;Batsata Rock;13;0.36;98;0.65;0.56;185;3.25;10;920;283
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;1;0;171;1.6;2.45;147;63.5;17;2450;318
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;2;0;128;1.5;1.5;102;46;17;1500;230
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;3;0;65;1.1;1.38;135;37.9;15;1375;200
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;4;0;121;1.8;1.5;130;47.2;10;1500;251
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;5;0;163;1.5;2;134;47.9;14;2000;297
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;6;0;105;1.4;1.63;137;45;17;1625;242
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;7;0;91;1.8;1.38;124;42;12;1375;215
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;8;0;161;1.9;2.3;153;51.8;15;2300;314
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;9;0;153;1.6;1.38;104;48;16;1375;257
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;10;0;120;1.2;1.63;126;45;14;1625;246
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;11;0;143;1.7;1.75;123;51.5;13;1750;266
TW;2015/04/26;Cool temperate;Moderately exposed;Sea Point;12;0;142;1.7;1.88;134;51;22;1875;276
AJS;2015//05/01;NA;NA;Rocky Bank;1;2.25;139;1.3;3.75;187;54.11;17;6000;326
AJS;2015//05/01;NA;NA;Rocky Bank;2;3;175;1.9;2.8;141;54.11;17;5800;316
AJS;2015//05/01;NA;NA;Rocky Bank;3;3.8;195;1.6;5.6;174;50.93;16;9400;369
AJS;2015//05/01;NA;NA;Rocky Bank;4;1.9;137;2.2;4.2;214;41.38;13;6100;351
AJS;2015//05/01;NA;NA;Rocky Bank;5;2.25;147;1.6;3.3;187;38.2;12;5550;334
AJS;2015//05/01;NA;NA;Rocky Bank;6;1.9;180;1.6;2.25;141;41.38;13;4150;321
AJS;2015//05/01;NA;NA;Rocky Bank;7;4.4;237;1.9;4.25;174;54.11;17;8650;411
AJS;2015//05/01;NA;NA;Rocky Bank;8;1.3;122;1.1;4;197;38.2;12;5300;319
AJS;2015//05/01;NA;NA;Rocky Bank;9;1.6;273;1.7;4.5;204;31.83;10;6100;477
AJS;2015//05/01;NA;NA;Rocky Bank;10;2.6;167;1.5;4.1;224;41.38;13;6700;391
AJS;2015//05/01;NA;NA;Rocky Bank;11;2.2;170;1.9;2.6;147;47.75;15;4800;317
AJS;2015//05/01;NA;NA;Rocky Bank;12;2.1;194;1.4;3.75;183;38.2;12;5850;377
AJS;2015//05/01;NA;NA;Rocky Bank;13;1.3;160;1.9;2.25;137;50.93;16;3550;297
