site;species;depth;stipe_length;stipe_weight;frond_weight;total_weight;hollow_length;outer_diam;inner_diam;hollowness
Klein;laminaria;shallow;77;200;575;775;48;22;9;62,3
Klein;laminaria;shallow;81;120;230;350;0;13;0;0
Klein;laminaria;shallow;84;310;810;1120;55;26;14;65,5
Klein;laminaria;shallow;87;270;860;1130;41;25;14;47,1
Klein;laminaria;shallow;94;245;550;795;36;22;10;38,3
Klein;laminaria;shallow;98;220;340;560;16;17;8;16,3
Klein;laminaria;intertidal;312;2400;1485;3885;287;45;28;92
Klein;laminaria;intertidal;174;700;715;1415;142;31;16;81,6
Klein;laminaria;intertidal;265;2200;2265;4465;234;56;38;88,3
Klein;laminaria;intertidal;268;1700;1560;3260;241;40;23;89,9
Klein;laminaria;intertidal;289;2400;2385;4785;258;50;36;89,3
Klein;laminaria;intertidal;293;1400;2360;3760;254;41;28;86,7
Klein;laminaria;intertidal;190;1100;240;1340;159;41;28;83,7
Klein;laminaria;intertidal;192;1300;860;2160;160;40;26;83,3
Klein;laminaria;intertidal;194;925;260;1185;164;33;26;84,5
Klein;laminaria;intertidal;217;1300;520;1820;181;46;32;83,4
Klein;laminaria;intertidal;226;1700;1105;2805;193;44;28;85,4
Klein;laminaria;intertidal;257;2200;1555;3755;221;47;28;86
Klein;laminaria;intertidal;277;2000;3045;5045;237;47;30;85,6
Klein;laminaria;intertidal;148;615;215;830;131;31;27;88,5
Klein;laminaria;intertidal;181;1150;835;1985;153;37;20;84,5
Klein;laminaria;intertidal;314;1800;2785;4585;262;41;32;83,4
Klein;laminaria;intertidal;206;1000;785;1785;167;34;20;81,1
Klein;laminaria;intertidal;237;1500;1485;2985;193;38;20;81,4
Klein;laminaria;intertidal;243;1400;1070;2470;209;36;21;86
Klein;laminaria;intertidal;254;1500;2045;3545;218;41;23;85,8
Klein;laminaria;intertidal;312;2400;1530;3930;260;48;29;83,3
Klein;laminaria;intertidal;319;1500;1700;3200;282;39;27;88,4
Klein;laminaria;intertidal;331;1700;3185;4885;82;41;26;24,8
Klein;laminaria;intertidal;381;2600;3110;5710;341;47;33;89,5
Klein;laminaria;intertidal;121;765;1475;2240;85;42;28;70,2
Klein;laminaria;intertidal;208;1100;1250;2350;187;33;21;89,9
Klein;laminaria;intertidal;266;2700;3585;6285;249;49;28;93,6
Klein;laminaria;intertidal;270;1900;2270;4170;241;45;35;89,3
Klein;laminaria;intertidal;280;1600;705;2305;257;39;29;91,8
Klein;laminaria;intertidal;288;2200;2820;5020;270;45;29;93,8
Klein;laminaria;intertidal;290;1600;2485;4085;255;43;28;87,9
Klein;laminaria;intertidal;303;2100;6160;8260;280;52;40;92,4
Klein;laminaria;intertidal;241;2200;2610;4810;220;63;37;91,3
Swakop;laminaria;intertidal;100;270;1200;1570;81;25;15;81
Swakop;laminaria;intertidal;172;675;1375;2222;145;30;18;84,3
Swakop;laminaria;intertidal;155;490;625;1270;146;28;12;94,2
Swakop;laminaria;intertidal;155;620;870;1645;143;31;19;92,3
Swakop;laminaria;intertidal;168;430;1000;1598;137;26;17;81,5
Swakop;laminaria;intertidal;161;625;1375;2161;141;32;21;87,6
Swakop;laminaria;intertidal;138;450;925;1513;88;26;15;63,8
Swakop;laminaria;intertidal;180;500;800;1480;165;28;18;91,7
Swakop;laminaria;intertidal;160;500;1000;1660;125;26;14;78,1
Swakop;laminaria;intertidal;240;870;1025;2135;220;31;19;91,7
Swakop;laminaria;intertidal;159;600;1250;2009;145;31;20;91,2
